time,x-acceleration,y-acceleration,z-acceleration
3.540,-0.155,-0.643,0.766
3.560,-0.071,-0.668,0.747
3.580,-0.005,-0.680,0.782
3.600,-0.006,-0.685,0.816
3.620,-0.020,-0.704,0.849
3.640,-0.153,-0.705,0.852
3.660,-0.149,-0.698,0.836
3.680,-0.163,-0.682,0.837
3.700,-0.218,-0.666,0.821
3.720,-0.149,-0.651,0.795
3.740,-0.198,-0.637,0.792
3.760,-0.172,-0.625,0.790
3.780,-0.146,-0.615,0.812
3.800,-0.182,-0.587,0.785
3.820,-0.073,-0.580,0.809
3.840,-0.032,-0.602,0.820
3.860,-0.084,-0.607,0.794
3.880,-0.129,-0.581,0.786
3.900,-0.081,-0.567,0.802
3.920,-0.034,-0.532,0.874
3.940,-0.050,-0.531,0.928
3.960,-0.153,-0.487,0.919
3.980,-0.173,-0.516,0.854
4.000,-0.039,-0.589,0.812
4.020,-0.007,-0.559,0.778
4.040,-0.062,-0.549,0.766
4.060,-0.083,-0.503,0.835
4.080,-0.108,-0.500,0.866
4.100,-0.107,-0.482,0.897
4.120,0.042,-0.475,0.899
4.140,0.254,-0.480,0.861
4.160,0.376,-0.513,0.856
4.180,0.226,-0.520,0.865
4.200,0.147,-0.444,0.919
4.220,0.099,-0.416,0.909
4.240,0.032,-0.391,0.889
4.260,0.021,-0.404,0.890
4.280,0.054,-0.426,0.850
4.300,0.118,-0.429,0.824
4.320,0.129,-0.417,0.817
4.340,0.177,-0.446,0.800
4.360,0.218,-0.473,0.829
4.380,0.188,-0.476,0.875
4.400,0.171,-0.459,0.846
4.420,0.237,-0.454,0.871
4.440,0.217,-0.455,0.929
4.460,0.163,-0.458,0.900
4.480,0.235,-0.452,0.906
4.500,0.248,-0.458,0.910
4.520,0.292,-0.453,0.941
4.540,0.328,-0.438,0.940
4.560,0.391,-0.435,0.935
4.580,0.372,-0.415,0.934
4.600,0.392,-0.405,0.915
4.620,0.435,-0.414,0.952
4.640,0.391,-0.404,0.963
4.660,0.383,-0.417,0.963
4.680,0.373,-0.443,1.028
4.700,0.341,-0.460,1.048
4.720,0.290,-0.487,1.003
4.740,0.277,-0.518,0.962
4.760,0.256,-0.514,0.948
4.780,0.168,-0.502,0.909
4.800,0.009,-0.476,0.813
4.820,0.033,-0.346,0.716
4.840,0.281,-0.232,0.767
4.860,0.344,-0.208,0.842
4.880,0.358,-0.152,0.938
4.900,0.362,-0.110,0.984
4.920,0.275,-0.098,1.024
4.940,0.161,-0.078,1.063
4.960,0.064,-0.027,1.074
4.980,0.049,-0.003,1.070
5.000,0.094,-0.021,1.042
5.020,0.115,-0.042,0.998
5.040,0.086,-0.066,0.975
5.060,0.082,-0.056,1.012
5.080,0.063,-0.012,1.002
5.100,0.058,-0.004,0.954
5.120,0.128,-0.034,0.933
5.140,0.220,-0.059,0.972
5.160,0.269,-0.068,0.962
