time,x-acceleration,y-acceleration,z-acceleration
3.520,-1.001,-0.148,0.139
3.540,-1.007,-0.146,0.135
3.560,-1.008,-0.140,0.141
3.580,-1.012,-0.137,0.146
3.600,-1.006,-0.138,0.148
3.620,-0.999,-0.141,0.152
3.640,-1.001,-0.141,0.151
3.660,-1.008,-0.138,0.153
3.680,-1.019,-0.131,0.161
3.700,-1.012,-0.143,0.159
3.720,-0.985,-0.152,0.161
3.740,-0.977,-0.158,0.158
3.760,-0.990,-0.159,0.151
3.780,-0.996,-0.162,0.146
3.800,-0.987,-0.168,0.140
3.820,-0.995,-0.167,0.128
3.840,-1.011,-0.158,0.127
3.860,-1.019,-0.151,0.130
3.880,-1.009,-0.149,0.134
3.900,-1.001,-0.148,0.139
3.920,-0.997,-0.146,0.138
3.940,-0.998,-0.139,0.142
3.960,-0.995,-0.138,0.143
3.980,-0.988,-0.141,0.141
4.000,-0.979,-0.144,0.144
4.020,-0.985,-0.146,0.141
4.040,-1.000,-0.149,0.135
4.060,-1.001,-0.153,0.138
4.080,-1.001,-0.155,0.142
4.100,-1.002,-0.158,0.141
4.120,-1.000,-0.159,0.141
4.140,-1.002,-0.156,0.137
4.160,-1.001,-0.157,0.138
4.180,-1.003,-0.158,0.141
4.200,-1.002,-0.158,0.141
4.220,-1.004,-0.154,0.138
4.240,-1.003,-0.152,0.137
4.260,-1.000,-0.152,0.136
4.280,-1.003,-0.152,0.129
4.300,-1.006,-0.149,0.130
4.320,-1.001,-0.148,0.135
4.340,-0.998,-0.147,0.135
4.360,-1.007,-0.143,0.131
4.380,-0.998,-0.141,0.135
4.400,-1.003,-0.141,0.136
4.420,-0.995,-0.143,0.142
4.440,-0.992,-0.142,0.132
4.460,-1.003,-0.139,0.124
4.480,-1.000,-0.138,0.126
4.500,-0.997,-0.140,0.131
4.520,-0.995,-0.146,0.131
4.540,-0.995,-0.155,0.131
4.560,-1.003,-0.159,0.126
4.580,-1.009,-0.155,0.120
4.600,-1.005,-0.151,0.122
4.620,-0.999,-0.148,0.127
4.640,-0.999,-0.150,0.136
4.660,-0.998,-0.152,0.142
4.680,-0.996,-0.151,0.144
4.700,-1.000,-0.150,0.143
4.720,-1.004,-0.152,0.144
4.740,-1.003,-0.153,0.148
4.760,-1.011,-0.150,0.144
4.780,-1.006,-0.151,0.146
4.800,-1.005,-0.151,0.151
4.820,-1.004,-0.148,0.153
4.840,-1.001,-0.151,0.152
4.860,-0.994,-0.154,0.150
4.880,-0.996,-0.153,0.148
4.900,-1.001,-0.151,0.150
4.920,-0.999,-0.151,0.153
4.940,-0.989,-0.151,0.155
4.960,-0.981,-0.150,0.156
4.980,-0.985,-0.151,0.154
5.000,-0.989,-0.148,0.153
5.020,-0.982,-0.153,0.162
5.040,-0.986,-0.155,0.163
5.060,-0.998,-0.156,0.153
5.080,-1.006,-0.153,0.149
5.100,-1.001,-0.155,0.156
5.120,-0.996,-0.157,0.164
5.140,-1.003,-0.159,0.166
5.160,-1.004,-0.161,0.160
5.180,-1.008,-0.161,0.157
5.200,-1.005,-0.161,0.157
5.220,-0.996,-0.163,0.157
5.240,-0.990,-0.162,0.161
5.260,-0.994,-0.161,0.162
5.280,-0.994,-0.161,0.160
5.300,-0.985,-0.161,0.155
5.320,-0.978,-0.164,0.151
5.340,-0.984,-0.164,0.156
5.360,-0.974,-0.159,0.173
5.380,-0.987,-0.148,0.167
5.400,-0.984,-0.129,0.170
5.420,-0.937,-0.114,0.169
5.440,-0.896,-0.104,0.186
5.460,-0.874,-0.109,0.235
5.480,-0.891,-0.106,0.228
5.500,-0.863,-0.087,0.216
5.520,-0.830,-0.086,0.203
5.540,-0.798,-0.094,0.188
5.560,-0.777,-0.090,0.181
5.580,-0.761,-0.071,0.178
5.600,-0.760,-0.035,0.172
5.620,-0.768,0.004,0.179
5.640,-0.800,0.072,0.196
5.660,-0.784,0.114,0.224
5.680,-0.778,0.159,0.248
5.700,-0.770,0.197,0.231
5.720,-0.869,0.283,0.204
5.740,-0.991,0.383,0.219
5.760,-1.001,0.451,0.248
5.780,-0.946,0.472,0.250
5.800,-0.940,0.505,0.249
5.820,-0.951,0.552,0.274
5.840,-0.949,0.588,0.290
5.860,-0.886,0.588,0.267
5.880,-0.821,0.595,0.246
5.900,-0.809,0.620,0.264
5.920,-0.806,0.667,0.300
5.940,-0.816,0.715,0.314
5.960,-0.739,0.735,0.303
5.980,-0.676,0.745,0.304
6.000,-0.619,0.756,0.314
6.020,-0.559,0.775,0.322
6.040,-0.525,0.799,0.308
6.060,-0.507,0.830,0.294
6.080,-0.498,0.864,0.284
6.100,-0.484,0.910,0.276
6.120,-0.460,0.959,0.265
6.140,-0.449,1.008,0.263
6.160,-0.435,1.047,0.265
6.180,-0.423,1.074,0.268
6.200,-0.412,1.082,0.271
6.220,-0.399,1.078,0.260
6.240,-0.402,1.069,0.257
6.260,-0.404,1.055,0.260
6.280,-0.395,1.035,0.255
6.300,-0.381,1.016,0.250
6.320,-0.363,0.997,0.256
6.340,-0.346,0.976,0.261
6.360,-0.329,0.961,0.260
6.380,-0.342,0.952,0.260
6.400,-0.330,0.945,0.263
6.420,-0.314,0.944,0.266
6.440,-0.303,0.950,0.271
6.460,-0.294,0.957,0.277
6.480,-0.282,0.976,0.289
6.500,-0.263,0.991,0.289
6.520,-0.253,0.981,0.270
6.540,-0.255,0.958,0.264
6.560,-0.249,0.948,0.278
6.580,-0.231,0.944,0.283
6.600,-0.211,0.930,0.273
6.620,-0.203,0.918,0.265
6.640,-0.202,0.906,0.262
6.660,-0.215,0.897,0.258
6.680,-0.222,0.897,0.257
6.700,-0.227,0.901,0.255
6.720,-0.229,0.905,0.250
6.740,-0.235,0.905,0.246
6.760,-0.241,0.905,0.241
6.780,-0.242,0.903,0.236
6.800,-0.248,0.901,0.234
6.820,-0.254,0.906,0.236
6.840,-0.258,0.909,0.232
6.860,-0.266,0.908,0.225
6.880,-0.272,0.906,0.227
6.900,-0.278,0.911,0.229
6.920,-0.276,0.912,0.224
6.940,-0.276,0.913,0.224
6.960,-0.282,0.915,0.226
6.980,-0.286,0.922,0.229
7.000,-0.285,0.930,0.231
7.020,-0.288,0.931,0.229
7.040,-0.285,0.927,0.226
7.060,-0.287,0.926,0.225
7.080,-0.290,0.937,0.231
7.100,-0.290,0.942,0.232
7.120,-0.289,0.942,0.231
7.140,-0.289,0.944,0.225
7.160,-0.287,0.941,0.223
7.180,-0.290,0.940,0.227
7.200,-0.292,0.943,0.228
7.220,-0.290,0.945,0.231
7.240,-0.283,0.944,0.233
7.260,-0.281,0.941,0.225
7.280,-0.281,0.942,0.223
7.300,-0.282,0.942,0.229
7.320,-0.277,0.939,0.230
7.340,-0.273,0.933,0.230
7.360,-0.272,0.930,0.228
7.380,-0.272,0.932,0.227
7.400,-0.269,0.938,0.225
7.420,-0.266,0.940,0.224
7.440,-0.264,0.938,0.221
7.460,-0.268,0.937,0.216
7.480,-0.271,0.934,0.216
7.500,-0.271,0.930,0.218
7.520,-0.269,0.933,0.219
7.540,-0.261,0.936,0.214
7.560,-0.261,0.930,0.214
7.580,-0.263,0.927,0.220
7.600,-0.263,0.933,0.224
7.620,-0.261,0.940,0.224
7.640,-0.258,0.938,0.219
7.660,-0.259,0.935,0.217
7.680,-0.262,0.938,0.221
7.700,-0.265,0.939,0.225
7.720,-0.270,0.933,0.221
7.740,-0.265,0.937,0.220
7.760,-0.263,0.941,0.224
7.780,-0.262,0.944,0.225
7.800,-0.265,0.945,0.224
7.820,-0.269,0.948,0.227
7.840,-0.267,0.941,0.228
7.860,-0.264,0.929,0.230
7.880,-0.262,0.922,0.238
7.900,-0.259,0.922,0.243
7.920,-0.253,0.920,0.242
7.940,-0.251,0.921,0.241
7.960,-0.249,0.921,0.240
7.980,-0.249,0.922,0.239
8.000,-0.251,0.923,0.239
8.020,-0.253,0.927,0.239
8.040,-0.255,0.937,0.243
8.060,-0.252,0.946,0.244
8.080,-0.252,0.945,0.240
8.100,-0.257,0.937,0.239
8.120,-0.259,0.928,0.243
8.140,-0.255,0.926,0.244
8.160,-0.247,0.930,0.244
8.180,-0.244,0.931,0.244
8.200,-0.248,0.930,0.240
8.220,-0.251,0.920,0.238
8.240,-0.257,0.905,0.237
8.260,-0.258,0.890,0.233
8.280,-0.251,0.883,0.226
8.300,-0.256,0.887,0.227
8.320,-0.264,0.902,0.225
8.340,-0.270,0.921,0.217
8.360,-0.273,0.941,0.213
8.380,-0.280,0.955,0.212
8.400,-0.293,0.961,0.209
8.420,-0.316,0.953,0.198
8.440,-0.330,0.934,0.188
8.460,-0.351,0.908,0.182
8.480,-0.358,0.891,0.190
8.500,-0.349,0.905,0.210
8.520,-0.332,0.925,0.212
8.540,-0.329,0.920,0.198
8.560,-0.344,0.913,0.197
8.580,-0.362,0.907,0.198
8.600,-0.372,0.900,0.197
8.620,-0.379,0.914,0.202
8.640,-0.380,0.947,0.218
8.660,-0.376,0.970,0.217
8.680,-0.368,0.968,0.206
8.700,-0.378,0.959,0.205
8.720,-0.396,0.951,0.220
8.740,-0.403,0.937,0.225
8.760,-0.409,0.940,0.228
8.780,-0.402,0.956,0.233
8.800,-0.402,0.963,0.232
8.820,-0.409,0.948,0.234
8.840,-0.405,0.930,0.241
8.860,-0.420,0.928,0.257
8.880,-0.426,0.939,0.269
8.900,-0.420,0.931,0.259
8.920,-0.421,0.916,0.254
8.940,-0.415,0.925,0.270
8.960,-0.408,0.960,0.284
8.980,-0.392,0.970,0.276
9.000,-0.381,0.953,0.260
9.020,-0.383,0.918,0.257
9.040,-0.395,0.890,0.252
9.060,-0.417,0.879,0.253
9.080,-0.416,0.875,0.264
9.100,-0.395,0.858,0.272
9.120,-0.362,0.836,0.273
9.140,-0.342,0.812,0.268
9.160,-0.325,0.800,0.274
9.180,-0.313,0.805,0.290
9.200,-0.302,0.814,0.299
9.220,-0.286,0.809,0.296
9.240,-0.277,0.808,0.295
9.260,-0.273,0.811,0.303
9.280,-0.260,0.812,0.313
9.300,-0.259,0.820,0.317
9.320,-0.260,0.843,0.317
9.340,-0.260,0.874,0.328
9.360,-0.257,0.898,0.341
9.380,-0.246,0.911,0.339
9.400,-0.246,0.927,0.338
9.420,-0.247,0.936,0.342
9.440,-0.250,0.924,0.341
9.460,-0.259,0.908,0.340
9.480,-0.263,0.894,0.340
9.500,-0.254,0.893,0.336
9.520,-0.247,0.900,0.325
9.540,-0.245,0.910,0.322
9.560,-0.249,0.922,0.324
9.580,-0.263,0.928,0.318
9.600,-0.275,0.924,0.307
9.620,-0.282,0.916,0.306
9.640,-0.292,0.906,0.303
9.660,-0.298,0.898,0.297
9.680,-0.301,0.890,0.294
9.700,-0.305,0.900,0.298
9.720,-0.302,0.911,0.313
9.740,-0.295,0.918,0.322
9.760,-0.299,0.940,0.332
9.780,-0.304,0.949,0.348
9.800,-0.302,0.935,0.358
9.820,-0.295,0.910,0.359
9.840,-0.280,0.919,0.347
9.860,-0.279,0.989,0.365
9.880,-0.281,1.014,0.389
9.900,-0.266,1.029,0.372
9.920,-0.285,1.064,0.367
9.940,-0.284,1.077,0.374
9.960,-0.260,1.076,0.365
9.980,-0.251,1.052,0.343
10.000,-0.252,0.999,0.320
10.020,-0.264,0.942,0.301
10.040,-0.263,0.910,0.289
10.060,-0.267,0.895,0.285
10.080,-0.258,0.908,0.274
10.100,-0.230,0.953,0.258
10.120,-0.180,1.006,0.253
10.140,-0.164,1.066,0.254
10.160,-0.177,1.116,0.236
10.180,-0.172,1.136,0.209
10.200,-0.168,1.137,0.190
10.220,-0.174,1.111,0.171
10.240,-0.191,1.052,0.145
10.260,-0.220,0.988,0.118
10.280,-0.241,0.941,0.104
10.300,-0.274,0.905,0.094
10.320,-0.306,0.884,0.090
10.340,-0.317,0.868,0.095
10.360,-0.312,0.847,0.099
10.380,-0.289,0.826,0.108
10.400,-0.288,0.807,0.116
10.420,-0.292,0.800,0.133
10.440,-0.294,0.792,0.145
10.460,-0.291,0.783,0.153
10.480,-0.287,0.777,0.161
10.500,-0.296,0.783,0.179
10.520,-0.301,0.800,0.206
10.540,-0.309,0.812,0.225
10.560,-0.318,0.835,0.239
10.580,-0.314,0.861,0.252
10.600,-0.313,0.881,0.262
10.620,-0.305,0.899,0.273
10.640,-0.299,0.971,0.289
10.660,-0.300,1.053,0.326
10.680,-0.280,1.110,0.342
10.700,-0.271,1.154,0.335
10.720,-0.274,1.162,0.338
10.740,-0.275,1.140,0.345
10.760,-0.306,1.102,0.358
10.780,-0.329,1.031,0.371
10.800,-0.321,0.964,0.365
10.820,-0.310,0.912,0.351
10.840,-0.286,0.870,0.338
10.860,-0.256,0.847,0.331
10.880,-0.229,0.838,0.322
10.900,-0.210,0.848,0.313
10.920,-0.213,0.869,0.309
10.940,-0.228,0.887,0.308
10.960,-0.243,0.916,0.311
10.980,-0.249,0.959,0.318
11.000,-0.248,0.996,0.327
11.020,-0.238,1.026,0.335
11.040,-0.220,1.033,0.346
11.060,-0.214,1.002,0.340
11.080,-0.219,0.943,0.324
11.100,-0.225,0.887,0.313
11.120,-0.223,0.852,0.312
11.140,-0.213,0.829,0.317
11.160,-0.195,0.820,0.319
11.180,-0.184,0.819,0.312
11.200,-0.188,0.813,0.301
11.220,-0.207,0.794,0.298
11.240,-0.221,0.787,0.302
11.260,-0.234,0.792,0.307
11.280,-0.235,0.806,0.310
11.300,-0.226,0.825,0.316
11.320,-0.221,0.842,0.324
11.340,-0.220,0.845,0.318
11.360,-0.234,0.860,0.313
11.380,-0.248,0.880,0.320
11.400,-0.246,0.895,0.322
11.420,-0.241,0.902,0.308
11.440,-0.235,0.971,0.298
11.460,-0.243,1.072,0.324
11.480,-0.253,1.096,0.318
11.500,-0.270,1.113,0.292
11.520,-0.295,1.127,0.294
11.540,-0.291,1.127,0.283
11.560,-0.295,1.126,0.268
11.580,-0.296,1.079,0.257
11.600,-0.284,1.002,0.234
11.620,-0.279,0.928,0.219
11.640,-0.276,0.880,0.210
11.660,-0.269,0.870,0.211
11.680,-0.270,0.903,0.212
11.700,-0.252,0.959,0.215
11.720,-0.221,1.026,0.230
11.740,-0.214,1.074,0.236
11.760,-0.206,1.077,0.233
11.780,-0.215,1.055,0.221
11.800,-0.229,1.025,0.204
11.820,-0.243,0.991,0.191
11.840,-0.258,0.947,0.183
11.860,-0.261,0.907,0.172
11.880,-0.262,0.869,0.163
11.900,-0.259,0.841,0.157
11.920,-0.259,0.832,0.157
11.940,-0.263,0.826,0.160
11.960,-0.262,0.815,0.164
11.980,-0.267,0.811,0.164
12.000,-0.270,0.809,0.163
12.020,-0.276,0.813,0.166
12.040,-0.282,0.822,0.179
12.060,-0.284,0.830,0.187
12.080,-0.284,0.846,0.190
12.100,-0.286,0.869,0.203
12.120,-0.288,0.889,0.214
12.140,-0.296,0.908,0.220
12.160,-0.300,0.919,0.225
12.180,-0.302,0.931,0.227
12.200,-0.300,0.997,0.235
12.220,-0.292,1.122,0.276
12.240,-0.271,1.187,0.297
12.260,-0.250,1.230,0.296
12.280,-0.262,1.208,0.299
12.300,-0.279,1.111,0.300
12.320,-0.334,0.996,0.303
12.340,-0.375,0.881,0.318
12.360,-0.362,0.799,0.333
12.380,-0.324,0.754,0.350
12.400,-0.278,0.742,0.344
12.420,-0.218,0.777,0.334
12.440,-0.179,0.857,0.325
12.460,-0.171,0.962,0.324
12.480,-0.198,1.051,0.344
12.500,-0.237,1.087,0.337
12.520,-0.254,1.066,0.333
12.540,-0.291,1.004,0.347
12.560,-0.296,0.942,0.356
12.580,-0.277,0.890,0.332
12.600,-0.224,0.850,0.305
12.620,-0.189,0.825,0.295
12.640,-0.173,0.819,0.295
12.660,-0.185,0.815,0.288
12.680,-0.209,0.813,0.276
12.700,-0.225,0.818,0.269
12.720,-0.238,0.828,0.266
12.740,-0.244,0.841,0.263
12.760,-0.250,0.859,0.265
12.780,-0.237,0.876,0.266
12.800,-0.229,0.876,0.261
12.820,-0.232,0.873,0.260
12.840,-0.240,0.874,0.262
12.860,-0.246,0.875,0.264
12.880,-0.246,0.883,0.263
12.900,-0.248,0.896,0.265
12.920,-0.251,0.912,0.272
12.940,-0.251,0.916,0.276
12.960,-0.246,0.973,0.259
12.980,-0.254,1.078,0.283
13.000,-0.279,1.094,0.285
13.020,-0.289,1.126,0.272
13.040,-0.331,1.150,0.293
13.060,-0.340,1.086,0.306
13.080,-0.357,0.978,0.288
13.100,-0.347,0.883,0.279
13.120,-0.316,0.818,0.280
13.140,-0.286,0.792,0.246
13.160,-0.258,0.832,0.216
13.180,-0.250,0.950,0.239
13.200,-0.230,1.088,0.272
13.220,-0.211,1.176,0.272
13.240,-0.218,1.170,0.247
13.260,-0.245,1.151,0.225
13.280,-0.261,1.126,0.216
13.300,-0.270,1.085,0.201
13.320,-0.271,1.031,0.179
13.340,-0.279,0.978,0.164
13.360,-0.272,0.946,0.159
13.380,-0.258,0.928,0.160
13.400,-0.247,0.909,0.160
13.420,-0.234,0.889,0.163
13.440,-0.232,0.865,0.162
13.460,-0.236,0.835,0.165
13.480,-0.243,0.812,0.167
13.500,-0.245,0.798,0.171
13.520,-0.245,0.796,0.183
